Location,Traffic Volume,Passenger Count,Noise Level,Average Speed,PM2.5 Level,AQI,Day of the Week,Time of the Day
Rohini,1008.0,11088.0,15.12,36.0,60.48,60.0,Friday,Midnight
Chandni Chowk,2085.0,6255.0,37.53,29.0,104.25,208.0,Thursday,Evening
Rohini,1863.0,22356.0,29.808,32.0,74.52,149.0,Thursday,Evening
Dwarka,526.0,7890.0,42.05930812030075,37.0,21.04,63.0,Wednesday,Midnight
Dwarka,3542.0,3542.0,63.756,18.0,165.9120510894065,425.0,Wednesday,Night
Lajpat Nagar,2564.7330928764654,5067.0,10.134,40.0,165.9120510894065,56.0,Thursday,Afternoon
Vasant Kunj,866.0,866.0,15.588,40.0,34.64,69.0,Sunday,Midnight
Connaught Place,2724.0,38136.0,43.584,28.0,163.44,326.0,Saturday,Afternoon
Karol Bagh,2564.7330928764654,16320.0,58.752,23.0,195.84,587.0,Friday,Evening
Vasant Kunj,534.0,534.0,8.01,39.0,32.04,32.0,Monday,Midnight
Dwarka,3617.0,43404.0,57.872,20.0,253.19,759.0,Monday,Night
Mayur Vihar,4962.0,14886.0,79.392,11.0,347.34,1042.0,Sunday,Night
Connaught Place,2750.0,5500.0,46.75,28.0,165.0,495.0,Monday,Evening
Lajpat Nagar,4754.0,33278.0,71.31,11.0,380.32,1140.0,Tuesday,Morning
Saket,3352.0,19953.552766085388,50.28,22.0,201.12,402.0,Friday,Morning
Mayur Vihar,1318.0,3954.0,22.406,34.0,52.72,158.0,Wednesday,Afternoon
Mayur Vihar,1204.0,13244.0,21.672,34.0,60.2,120.0,Friday,Afternoon
Saket,859.0,11167.0,42.05930812030075,37.0,34.36,68.0,Monday,Afternoon
Lajpat Nagar,1414.0,15554.0,21.21,35.0,84.84,169.0,Sunday,Midnight
Lajpat Nagar,2677.0,32124.0,40.155,28.0,160.62,321.0,Saturday,Afternoon
Connaught Place,943.0,943.0,14.145,38.0,47.15,141.0,Thursday,Midnight
Karol Bagh,4516.0,9032.0,67.74,10.0,361.28,722.0,Wednesday,Night
Mayur Vihar,923.0,2769.0,16.614,26.61385840973997,55.38,55.0,Friday,Afternoon
Karol Bagh,3817.0,7634.0,61.072,20.0,229.02,458.0,Friday,Night
Mayur Vihar,1126.0,7882.0,19.142,34.0,56.3,112.0,Thursday,Midnight
Vasant Kunj,1366.0,12294.0,20.49,35.0,81.96,245.0,Monday,Afternoon
Karol Bagh,616.0,6160.0,9.24,38.0,36.96,73.0,Friday,Afternoon
Saket,913.0,2739.0,15.521,37.0,36.52,36.0,Monday,Midnight
Vasant Kunj,4955.0,34685.0,79.28,13.0,396.4,792.0,Tuesday,Night
Pitampura,2564.7330928764654,46884.0,66.419,17.0,234.42,703.0,Wednesday,Morning
Connaught Place,4786.0,19144.0,81.362,11.0,382.88,765.0,Friday,Morning
Dwarka,4510.0,36080.0,42.05930812030075,10.0,315.7,631.0,Saturday,Evening
Connaught Place,942.0,3768.0,14.13,40.0,37.68,113.0,Wednesday,Afternoon
Connaught Place,4855.0,19420.0,77.68,10.0,388.4,776.0,Wednesday,Night
Mayur Vihar,3017.0,27153.0,45.255,24.0,181.02,362.0,Saturday,Evening
Karol Bagh,4513.0,27078.0,76.721,26.61385840973997,361.04,722.0,Friday,Night
Karol Bagh,1370.0,4110.0,23.29,36.0,68.5,68.0,Friday,Afternoon
Rohini,3580.0,32220.0,57.28,18.0,250.6,501.0,Wednesday,Morning
Connaught Place,1438.0,7190.0,42.05930812030075,34.0,57.52,57.0,Saturday,Midnight
Saket,547.0,1641.0,9.299,38.0,21.88,21.0,Thursday,Midnight
Rohini,1850.0,20350.0,29.6,33.0,92.5,92.0,Sunday,Morning
Karol Bagh,722.0,1444.0,12.274,40.0,28.88,28.0,Wednesday,Midnight
Saket,1391.0,2782.0,25.038,34.0,165.9120510894065,111.0,Friday,Midnight
Lajpat Nagar,1418.0,15598.0,22.688,34.0,56.72,399.59022556390977,Tuesday,Afternoon
Pitampura,2564.7330928764654,10231.0,13.379,39.0,39.35,78.0,Thursday,Afternoon
Mayur Vihar,2564.7330928764654,20248.0,43.027,28.0,151.86,455.0,Thursday,Evening
Connaught Place,2933.0,8799.0,49.861,25.0,175.98,527.0,Saturday,Afternoon
Connaught Place,3090.0,43260.0,49.44,21.0,185.4,370.0,Friday,Morning
Saket,4386.0,4386.0,65.79,15.0,307.02,921.0,Thursday,Morning
Rohini,693.0,8316.0,11.088,37.0,27.72,27.0,Wednesday,Midnight
Karol Bagh,4107.0,24642.0,42.05930812030075,14.0,287.49,574.0,Wednesday,Morning
Pitampura,4361.0,47971.0,78.498,16.0,305.27,915.0,Friday,Morning
Lajpat Nagar,3597.0,14388.0,64.746,19.0,251.79,503.0,Tuesday,Night
Lajpat Nagar,628.0,5024.0,9.42,39.0,25.12,75.0,Monday,Afternoon
Connaught Place,4270.0,12810.0,76.86,16.0,298.9,896.0,Friday,Evening
Chandni Chowk,3472.0,3472.0,62.496,24.0,243.04,729.0,Sunday,Night
Connaught Place,1110.0,1110.0,19.98,34.0,165.9120510894065,55.0,Saturday,Midnight
Saket,4450.0,40050.0,66.75,16.0,356.0,1068.0,Saturday,Night
Connaught Place,1402.0,15422.0,42.05930812030075,28.0,56.08,112.0,Monday,Afternoon
Connaught Place,3513.0,35130.0,52.695,26.61385840973997,245.91,491.0,Friday,Night
Karol Bagh,1018.0,9162.0,18.324,35.0,40.72,81.0,Thursday,Afternoon
Connaught Place,3467.0,20802.0,58.939,21.0,242.69,728.0,Monday,Morning
Connaught Place,1685.0,10110.0,26.96,31.0,84.25,168.0,Saturday,Afternoon
Connaught Place,843.0,8430.0,15.174,37.0,42.15,42.0,Friday,Midnight
Pitampura,2833.0,22664.0,50.994,27.0,198.31,396.0,Tuesday,Evening
Vasant Kunj,2564.7330928764654,12498.0,35.411,28.0,83.32,249.0,Monday,Evening
Lajpat Nagar,3348.0,15360.0,56.916,26.61385840973997,200.88,401.0,Monday,Night
Mayur Vihar,3750.0,41250.0,63.75,17.0,262.5,787.0,Tuesday,Morning
Saket,4655.0,60515.0,79.135,13.0,325.85,977.0,Thursday,Night
Mayur Vihar,1232.0,9856.0,20.944,35.0,73.92,399.59022556390977,Wednesday,Afternoon
Mayur Vihar,2548.0,38220.0,38.22,28.0,152.88,305.0,Sunday,Morning
Dwarka,3492.0,10476.0,59.364,23.0,244.44,488.0,Sunday,Night
Vasant Kunj,654.0,654.0,10.464,38.0,26.16,78.0,Wednesday,Midnight
Rohini,765.0,11475.0,13.77,40.0,38.25,76.0,Friday,Midnight
Pitampura,4158.0,12474.0,74.844,15.0,332.64,997.0,Friday,Night
Mayur Vihar,712.0,9256.0,10.68,39.0,35.6,71.0,Friday,Midnight
Chandni Chowk,3362.0,10086.0,53.792,24.0,235.34,470.0,Tuesday,Night
Pitampura,3837.0,46044.0,65.229,17.0,268.59,399.59022556390977,Thursday,Morning
Pitampura,560.0,5600.0,10.08,39.0,28.0,56.0,Friday,Midnight
Lajpat Nagar,4445.0,35560.0,80.01,16.0,311.15,622.0,Sunday,Evening
Chandni Chowk,3620.0,19953.552766085388,54.3,17.0,253.4,760.0,Monday,Morning
Chandni Chowk,2196.0,28548.0,32.94,30.0,87.84,175.0,Saturday,Morning
Vasant Kunj,2248.0,2248.0,40.464,26.61385840973997,165.9120510894065,269.0,Thursday,Evening
Pitampura,2564.7330928764654,6800.0,10.2,37.0,40.8,122.0,Monday,Afternoon
Chandni Chowk,3566.0,53490.0,64.188,18.0,249.62,499.0,Monday,Night
Chandni Chowk,4865.0,58380.0,87.57,11.0,165.9120510894065,778.0,Friday,Night
Connaught Place,1388.0,16656.0,22.208,26.61385840973997,83.28,166.0,Friday,Midnight
Lajpat Nagar,2752.0,24768.0,49.536,27.0,165.12,330.0,Saturday,Morning
Karol Bagh,792.0,3168.0,14.256,38.0,31.68,31.0,Thursday,Midnight
Lajpat Nagar,1231.0,6155.0,22.158,36.0,61.55,123.0,Friday,Afternoon
Karol Bagh,1498.0,14980.0,25.466,36.0,89.88,179.0,Friday,Afternoon
Rohini,4954.0,34678.0,84.218,11.0,396.32,1188.0,Friday,Morning
Vasant Kunj,2222.0,11110.0,39.996,29.0,88.88,266.0,Saturday,Morning
Rohini,4498.0,26988.0,67.47,14.0,314.86,629.0,Friday,Night
Connaught Place,623.0,7476.0,9.345,39.0,31.15,31.0,Wednesday,Afternoon
Mayur Vihar,3990.0,47880.0,63.84,19.0,165.9120510894065,558.0,Monday,Morning
Pitampura,4223.0,25338.0,63.345,15.0,295.61,886.0,Thursday,Morning
Karol Bagh,4136.0,24816.0,70.312,16.0,289.52,868.0,Sunday,Evening
Lajpat Nagar,546.0,3276.0,8.19,37.0,154.44,81.0,Sunday,Midnight
Mayur Vihar,4672.0,9344.0,84.096,11.0,373.76,747.0,Friday,Night
Rohini,887.0,8870.0,14.192,39.0,53.22,399.59022556390977,Thursday,Midnight
Rohini,2543.0,25430.0,38.145,27.0,152.58,305.0,Sunday,Morning
Chandni Chowk,3569.0,28552.0,53.535,17.0,249.83,499.0,Friday,Night
Karol Bagh,1301.0,18214.0,20.816,35.0,65.05,130.0,Saturday,Midnight
Connaught Place,4666.0,23330.0,79.322,10.0,373.28,1119.0,Wednesday,Night
Karol Bagh,1131.0,9048.0,20.358,34.0,56.55,169.0,Friday,Afternoon
Chandni Chowk,603.0,1809.0,10.251,38.0,30.15,30.0,Friday,Afternoon
Saket,943.0,10373.0,15.088,37.0,56.58,113.0,Tuesday,Midnight
Connaught Place,3815.0,19953.552766085388,68.67,20.0,228.9,457.0,Sunday,Night
Connaught Place,4733.0,9466.0,42.05930812030075,11.0,331.31,662.0,Tuesday,Afternoon
Saket,576.0,4608.0,9.216,40.0,28.8,57.0,Thursday,Midnight
Dwarka,1542.0,4626.0,24.672,32.0,92.52,277.0,Saturday,Afternoon
Pitampura,753.0,7530.0,12.048,39.0,45.18,90.0,Tuesday,Afternoon
Pitampura,2555.0,10220.0,38.325,27.0,153.3,459.0,Friday,Evening
Mayur Vihar,2725.0,5450.0,40.875,25.0,163.5,327.0,Wednesday,Evening
Connaught Place,626.0,15360.0,9.39,40.0,31.3,31.0,Friday,Midnight
Saket,4577.0,9154.0,82.386,11.0,366.16,732.0,Saturday,Night
Lajpat Nagar,1019.0,7133.0,18.342,34.0,61.14,61.0,Thursday,Midnight
Karol Bagh,1430.0,17160.0,22.88,35.0,71.5,143.0,Wednesday,Afternoon
Rohini,2564.7330928764654,4602.0,27.612,33.0,92.04,184.0,Thursday,Evening
Lajpat Nagar,4263.0,63945.0,68.208,14.0,298.41,895.0,Thursday,Morning
Saket,2564.7330928764654,15860.0,59.475,19.0,237.9,399.59022556390977,Monday,Night
Saket,3020.0,30200.0,42.05930812030075,21.0,211.4,634.0,Friday,Morning
Rohini,1215.0,10935.0,21.87,36.0,72.9,145.0,Tuesday,Midnight
Saket,2564.7330928764654,12280.0,41.752,30.0,98.24,98.0,Wednesday,Evening
Connaught Place,1329.0,15948.0,21.264,35.0,79.74,159.0,Wednesday,Afternoon
Dwarka,2222.0,28886.0,37.774,30.0,111.1,333.0,Thursday,Evening
Connaught Place,4752.0,42768.0,80.784,12.0,332.64,665.0,Friday,Night
Connaught Place,3531.0,21186.0,52.965,17.0,247.17,494.0,Wednesday,Morning
Pitampura,2564.7330928764654,25068.0,31.335,30.0,104.45,208.0,Sunday,Afternoon
Vasant Kunj,4127.0,28889.0,66.032,16.0,288.89,866.0,Monday,Night
Rohini,4241.0,12723.0,41.804,14.0,339.28,1017.0,Sunday,Night
Pitampura,3475.0,38225.0,52.125,24.0,243.25,486.0,Wednesday,Morning
Dwarka,3393.0,30537.0,50.895,21.0,203.58,407.0,Friday,Evening
Saket,4252.0,46772.0,72.284,15.0,297.64,595.0,Thursday,Morning
Lajpat Nagar,2564.7330928764654,13220.0,52.88,23.0,198.3,594.0,Sunday,Evening
Chandni Chowk,3703.0,3703.0,59.248,17.0,259.21,777.0,Monday,Night
Karol Bagh,2500.0,32500.0,37.5,30.0,125.0,125.0,Saturday,Afternoon
Saket,1096.0,15344.0,16.44,35.0,65.76,131.0,Tuesday,Midnight
Chandni Chowk,3157.0,28413.0,47.355,23.0,189.42,568.0,Thursday,Morning
Vasant Kunj,4004.0,60060.0,60.06,15.0,320.32,640.0,Sunday,Afternoon
Pitampura,3831.0,34479.0,65.127,17.0,229.86,689.0,Tuesday,Night
Vasant Kunj,4084.0,19953.552766085388,61.26,14.0,285.88,857.0,Saturday,Night
Connaught Place,2564.7330928764654,18776.0,70.41,13.0,328.58,657.0,Monday,Morning
Mayur Vihar,1820.0,27300.0,29.12,33.0,72.8,72.0,Sunday,Afternoon
Karol Bagh,988.0,3952.0,17.784,40.0,49.4,148.0,Tuesday,Midnight
Dwarka,1164.0,3492.0,18.624,34.0,58.2,116.0,Tuesday,Afternoon
Pitampura,871.0,13065.0,13.936,40.0,34.84,34.0,Friday,Midnight
Mayur Vihar,974.0,4870.0,15.584,38.0,48.7,97.0,Monday,Afternoon
Chandni Chowk,1456.0,2912.0,23.296,35.0,58.24,399.59022556390977,Monday,Afternoon
Rohini,613.0,613.0,41.804,38.0,30.65,91.0,Friday,Afternoon
Pitampura,765.0,765.0,11.475,40.0,38.25,38.0,Friday,Midnight
Chandni Chowk,4730.0,23650.0,75.68,10.0,331.1,993.0,Wednesday,Morning
Connaught Place,1217.0,13387.0,42.05930812030075,35.0,60.85,182.0,Saturday,Midnight
Vasant Kunj,1144.0,16016.0,17.16,36.0,45.76,91.0,Friday,Afternoon
Chandni Chowk,2189.0,32835.0,39.402,28.0,87.56,175.0,Friday,Afternoon
Chandni Chowk,4226.0,59164.0,63.39,15.0,338.08,676.0,Saturday,Afternoon
Lajpat Nagar,1458.0,2916.0,24.786,34.0,72.9,72.0,Friday,Afternoon
Chandni Chowk,3788.0,53032.0,42.05930812030075,20.0,265.16,530.0,Sunday,Night
Saket,985.0,19953.552766085388,17.73,37.0,59.1,118.0,Sunday,Midnight
Lajpat Nagar,4127.0,24762.0,61.905,26.61385840973997,288.89,577.0,Wednesday,Night
Chandni Chowk,1344.0,16128.0,21.504,36.0,80.64,161.0,Friday,Midnight
Lajpat Nagar,4817.0,9634.0,77.072,11.0,385.36,770.0,Friday,Evening
Lajpat Nagar,1660.0,24900.0,28.22,31.0,99.6,298.0,Sunday,Afternoon
Chandni Chowk,3364.0,10092.0,50.46,23.0,235.48,470.0,Monday,Morning
Connaught Place,2298.0,20682.0,34.47,30.0,137.88,137.0,Monday,Evening
Lajpat Nagar,3720.0,40920.0,59.52,18.0,165.9120510894065,781.0,Saturday,Evening
Vasant Kunj,2570.0,10280.0,46.26,28.0,154.2,462.0,Sunday,Morning
Pitampura,2176.0,19584.0,32.64,30.0,108.8,217.0,Saturday,Morning
Lajpat Nagar,4110.0,32880.0,69.87,16.0,287.7,399.59022556390977,Friday,Evening
Saket,717.0,6453.0,12.906,40.0,43.02,129.0,Friday,Midnight
Karol Bagh,4590.0,55080.0,78.03,11.0,321.3,963.0,Friday,Night
Saket,4293.0,60102.0,64.395,16.0,154.44,901.0,Monday,Night
Rohini,1277.0,15324.0,22.986,35.0,63.85,127.0,Friday,Afternoon
Saket,2770.0,38780.0,44.32,25.0,166.2,399.59022556390977,Tuesday,Evening
Lajpat Nagar,4711.0,28266.0,80.087,12.0,165.9120510894065,989.0,Monday,Morning
Dwarka,979.0,1958.0,17.622,37.0,48.95,146.0,Friday,Midnight
Lajpat Nagar,1366.0,2732.0,42.05930812030075,34.0,165.9120510894065,109.0,Friday,Midnight
Dwarka,4231.0,63465.0,63.465,15.0,338.48,676.0,Tuesday,Night
Chandni Chowk,3193.0,9579.0,57.474,22.0,191.58,574.0,Sunday,Evening
Karol Bagh,4361.0,19953.552766085388,78.498,15.0,348.88,697.0,Sunday,Night
Vasant Kunj,525.0,4200.0,7.875,38.0,21.0,21.0,Tuesday,Midnight
Vasant Kunj,3506.0,38566.0,52.59,19.0,210.36,631.0,Monday,Night
Chandni Chowk,4545.0,13635.0,72.72,10.0,363.6,1090.0,Friday,Evening
Mayur Vihar,1345.0,14795.0,24.21,36.0,53.8,107.0,Friday,Afternoon
Rohini,1655.0,19953.552766085388,28.135,32.0,66.2,132.0,Thursday,Evening
Karol Bagh,3755.0,15020.0,56.325,17.0,225.3,450.0,Monday,Morning
Mayur Vihar,3930.0,58950.0,66.81,19.0,275.1,825.0,Monday,Night
Connaught Place,4041.0,48492.0,60.615,15.0,323.28,351.0,Friday,Night
Dwarka,3823.0,34407.0,57.345,26.61385840973997,267.61,802.0,Thursday,Morning
Rohini,1052.0,10520.0,16.832,36.0,63.12,189.0,Saturday,Midnight
Rohini,926.0,12038.0,15.742,38.0,46.3,92.0,Thursday,Afternoon
Karol Bagh,2373.0,28476.0,37.968,28.0,94.92,189.0,Wednesday,Evening
Vasant Kunj,4877.0,24385.0,78.032,12.0,154.44,1024.0,Monday,Night
Vasant Kunj,3773.0,22638.0,60.368,17.0,264.11,528.0,Friday,Night
Vasant Kunj,3567.0,39237.0,42.05930812030075,19.0,249.69,749.0,Thursday,Morning
Dwarka,767.0,19953.552766085388,13.039,40.0,38.35,38.0,Monday,Afternoon
Connaught Place,587.0,4696.0,9.979,40.0,29.35,29.0,Friday,Afternoon
Rohini,3044.0,30440.0,51.748,24.0,213.08,426.0,Friday,Night
Vasant Kunj,3339.0,23373.0,42.05930812030075,24.0,200.34,601.0,Thursday,Night
Saket,2789.0,8367.0,44.624,26.0,195.23,585.0,Tuesday,Evening
Mayur Vihar,4757.0,28542.0,71.355,13.0,332.99,998.0,Friday,Night
Connaught Place,4891.0,39128.0,88.038,10.0,342.37,1027.0,Sunday,Evening
Karol Bagh,4525.0,63350.0,67.875,11.0,362.0,1086.0,Monday,Night
Lajpat Nagar,1224.0,14688.0,18.36,36.0,61.2,183.0,Thursday,Afternoon
Connaught Place,4133.0,16532.0,61.995,16.0,330.64,991.0,Thursday,Morning
Lajpat Nagar,2768.0,38752.0,49.824,25.0,193.76,581.0,Wednesday,Evening
